x1,x2,y
1.6,9.584,-4.659
4.437,7.106,-6.345
8.728,5.306,27.746
5.649,6.533,28.655
9.648,2.298,14.711
0.011,4.991,6.179
3.404,0.861,3.641
7.691,2.795,18.681
6.862,2.855,17.002
5.61,1.651,13.471
6.637,4.161,17.646
8.764,0.632,15.871
6.836,0.258,15.977
5.472,3.327,15.864
5.625,9.914,23.811
6.664,7.271,24.072
3.239,4.277,6.392
6.694,1.994,15.047
6.15,1.215,13.248
7.859,4.165,19.207
4.802,6.534,-5.276
0.27,8.261,-5.977
5.369,4.625,13.746
8.577,8.519,26.521
6.4,8.113,27.089
6.435,8.496,25.631
3.909,3.319,6.877
3.566,4.67,2.14
7.189,1.603,14.394
0.778,5.846,-5.805
8.664,0.424,15.145
8.763,4.695,16.111
9.624,1.636,11.053
1.357,4.777,11.383
1.154,1.813,3.395
8.94,0.015,15.817
4.011,4.218,6.781
2.704,4.283,6.826
3.822,5.411,-4.397
6.595,1.247,9.298
1.615,4.983,2.941
4.872,2.997,6.63
6.601,0.814,13.265
7.208,4.102,12.993
0.123,6.669,-9.61
8.109,3.028,17.533
4.342,7.134,-3.887
4.358,7.888,-6.698
5.624,0.14,14.818
2.801,2.156,4.878
8.867,2.836,12.842
2.121,5.923,-5.478
5.427,4.87,15.574
1.68,5.681,-3.832
6.161,0.738,17.591
9.019,2.871,15.114
8.826,1.608,14.128
1.347,7.46,-4.144
6.249,6.835,23.789
8.926,3.049,12.543
2.003,8.762,-2.668
4.147,1.356,4.281
7.132,0.178,15.284
7.381,3.734,16.34
4.512,6.685,-7.175
6.386,9.462,26.322
6.689,5.086,25.94
3.531,1.365,4.843
6.521,5.974,25.828
5.774,0.168,13.525
6.974,8.18,20.627
5.116,3.224,14.471
3.364,1.018,3.215
4.344,1.493,6.774
9.225,8.286,25.566
1.876,9.064,-6.023
1.483,1.845,5.131
0.122,9.981,-2.258
8.521,8.603,27.306
9.886,3.294,15.774
2.365,0.511,5.897
2.661,1.512,4.479
1.984,4.364,4.774
6.002,2.055,16.213
4.851,1.819,4.796
8.206,2.727,15.632
2.097,8.776,-7.198
8.779,0.364,11.695
4.64,9.225,-8.365
8.079,4.493,14.157
8.021,7.38,27.689
9.108,5.119,27.399
4.988,9.454,-6.963
6.096,1.813,11.918
5.61,2.553,16.618
1.903,5.082,-4.042
5.015,5.076,22.293
9.266,3.31,17.147
9.089,3.053,15.38
0.215,0.891,7.679
6.634,5.022,25.716
3.268,8.306,-3.188
1.359,8.668,-4.326
1.394,4.147,3.125
7.95,9.796,24.564
9.592,9.67,23.674
5.202,3.195,16.691
3.835,1.165,3.036
5.099,8.357,21.961
8.293,9.407,26.394
7.467,6.492,27.322
0.641,9.644,-2.08
2.125,4.775,7.214
8.677,5.238,22.011
4.931,0.741,3.632
6.577,3.7,13.929
7.775,9.246,24.98
6.366,1.033,10.716
7.339,1.375,15.005
5.456,0.331,15.578
2.293,4.957,3.122
1.871,6.035,-4.741
9.935,5.325,27.406
0.105,8.79,-4.885
6.909,6.806,27.137
8.807,6.369,27.051
2.314,6.027,-4.157
0.485,5.06,-4.21
3.992,0.746,4.279
3.3,0.973,7.505
4.616,6.441,-5.919
4.274,2.119,3.628
9.42,4.154,16.435
1.193,6.474,-6.43
9.44,5.997,25.875
0.457,2.443,7.137
9.382,2.673,15.185
3.33,1.406,5.235
7.271,6.625,26.861
0.031,7.196,-3.467
4.473,1.319,1.945
6.778,2.707,12.405
6.283,1.487,17.69
8.064,6.121,25.808
1.534,2.961,0.866
4.012,8.698,-7.668
6.137,2.662,15.08
0.287,6.444,-6.929
8.357,6.36,25.97
4.162,9.419,-4.81
2.461,7.229,-3.984
2.225,9.33,-7.301
6.509,5.843,26.279
0.478,0.035,8.957
2.445,3.264,3.448
3.039,7.405,-2.332
2.585,3.427,7.004
7.306,6.58,26.33
5.924,1.176,14.911
9.04,6.466,22.719
7.01,3.852,13.288
2.945,9.461,-3.428
3.242,0.713,7.003
1.232,3.606,7.491
2.425,7.675,-3.033
6.046,3.922,16.853
7.31,4.625,14.177
2.959,3.344,2.631
3.442,0.975,5.456
8.029,3.201,16.048
9.585,8.767,25.219
0.847,7.673,-7.993
0.713,3.097,4.008
7.592,6.685,22.094
4.957,7.94,-4.66
4.25,7.97,-7.052
6.336,0.553,14.715
7.604,1.641,15.695
0.698,9.562,-4.676
9.618,2.799,17.787
9.581,7.786,22.841
4.167,6.304,-9.316
4.696,8.722,-3.058
2.723,0.782,7.857
5.875,9.34,27.918
2.051,8.76,-4.376
5.346,2.384,16.134
9.043,7.109,25.301
5.062,0.06,12.467
8.271,8.654,23.915
1.792,4.145,6.051
8.835,7.405,23.904
1.232,7.951,-1.126
2.129,0.266,1.978
7.202,8.821,24.192
3.02,1.05,7.281
1.189,1.549,3.845
0.868,4.564,2.796
7.933,2.534,12.343
0.198,6.48,-6.392
0.563,1.906,8.082
9.455,6.23,25.88
7.822,7.616,26.096
3.704,9.636,-5.975
1.924,3.994,6.752
8.672,2.86,15.278
7.876,5.776,23.222
6.685,6.513,24.16
5.304,9.23,25.47
5.253,5.857,27.407
9.779,4.385,14.949
5.223,2.976,16.066
0.84,7.252,-0.894
0.748,6.376,-6.531
5.956,0.717,12.586
7.327,2.993,17.034
6.282,1.672,15.944
7.428,4.954,14.872
2.942,3.811,5.596
